"","name","status","region","city","funding_rounds","seed","venture","equity_crowdfunding","undisclosed","convertible_note","debt_financing","angel","grant","private_equity","post_ipo_equity","post_ipo_debt","secondary_market","product_crowdfunding","round_A","round_B","round_C","round_D","round_E","round_F","round_G","round_H","total_investment","market_type","diff_funding_year","status_label","total_investment_label","diff_funding_year_label","funding_rounds_label","seed_label","venture_label","total_investment_cde","diff_funding_year_cde","funding_rounds_cde","seed_cde","venture_cde"
"7285","N12 Technologies","operating","Boston","Cambridge",1,0,5266054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5266054,1,0,1,"high_medium","low","low","low","medium",2,0,0,0,1
"7286","N2N Commerce","closed","Boston","Cambridge",1,0,3e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e+07,1,0,0,"high","low","low","low","high",3,0,0,0,2
"7287","N4MD","operating","Atlanta","Atlanta",1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,1,0,1,"low","low","low","low","low",0,0,0,0,0
"7288","Nail Your Mortgage","closed","Chicago","Chicago",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100000,1,0,0,"low_medium","low","low","low","low",1,0,0,0,0
"7289","Nalace Corporation","closed","Atlanta","Lawrenceville",1,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,0,0,0,"low","low","low","low","low",0,0,0,0,0
"7290","Namely","operating","New York City","New York",5,750000,20050000,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,37150000,1,2.83333333333333,1,"high","high","high","high","high",3,1,1,1,2
"7291","NameMedia","operating","Boston","Waltham",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"low","low","low","low","low",0,0,0,0,0
"7292","Namo Media","acquired","SF Bay Area","San Francisco",1,1875000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875000,1,0,2,"low_medium","low","low","high","low",1,0,0,1,0
"7293","Nangate","operating","SF Bay Area","Sunnyvale",3,0,3.5e+07,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,7e+07,1,2.16666666666667,1,"high","high","high","low","high",3,1,1,0,2
"7294","Nanigans","operating","Boston","Boston",2,0,8850000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17700000,1,1.66666666666667,1,"high_medium","high","low","low","medium",2,1,0,0,1
"7295","Nano Game Studio","operating","SF Bay Area","Dublin",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e+05,1,0,1,"low_medium","low","low","low","low",1,0,0,0,0
"7296","Nano Precision Medical","operating","SF Bay Area","Emeryville",1,0,2e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e+06,1,0,1,"low_medium","low","low","low","medium",1,0,0,0,1
"7297","Nano Terra","operating","Boston","Cambridge",4,0,25688098,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43438098,1,3.83333333333333,1,"high","high","high","low","high",3,1,1,0,2
"7298","Nanochip","operating","SF Bay Area","Fremont",2,0,28800000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43600000,1,1.75,1,"high","high","low","low","high",3,1,0,0,2
"7299","NanoGram","operating","SF Bay Area","Milpitas",3,0,50700000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86700000,1,4,1,"high","high","high","low","high",3,1,1,0,2
"7300","NanoH2O","acquired","Los Angeles","Los Angeles",3,0,3.5e+07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,95500000,1,4.91666666666667,2,"high","high","high","low","high",3,1,1,0,2
"7301","NanoLumens","operating","Atlanta","Norcross",4,0,10623802,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11073802,1,2.91666666666667,1,"high_medium","high","high","low","medium",2,1,1,0,1
"7302","NanoMedical Systems","operating","Austin","Austin",1,0,2322500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2322500,1,0,1,"low_medium","low","low","low","medium",1,0,0,0,1
"7303","NanoPharmaceuticals","operating","New York City","New York",1,0,2622500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622500,1,0,1,"low_medium","low","low","low","medium",1,0,0,0,1
"7304","NanoPrecision Holding Company","operating","Los Angeles","Santa Monica",1,0,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4600000,0,0,1,"high_medium","low","low","low","medium",2,0,0,0,1
"7305","Nanosolar","operating","SF Bay Area","San Jose",6,0,4e+08,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,9.2e+08,1,8.91666666666667,1,"high","high","high","low","high",3,1,1,0,2
"7306","Nanosphere","operating","Chicago","Northbrook",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30200000,0,0,1,"high","low","low","low","low",3,0,0,0,0
"7307","NanoString Technologies","operating","Seattle","Seattle",8,0,88950000,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,180250000,1,5.83333333333333,1,"high","high","high","low","high",3,1,1,0,2
